order_id,order_date,store_id,sku,product_name,category,qty,unit_price,currency,customer_id,payment_method
O-2001,2026-09-01,S-01,SKU-1,Apple,Produce,2,1.50,USD,C-01,card
O-2001,2026-09-01,S-01,SKU-1,Apple,Produce,2,1.50,USD,C-01,card
O-2002,bad-date,S-01,SKU-2,Bread,Bakery,2,3.00,USD,C-02,card
O-2003,2026-13-45,S-02,SKU-3,Milk,Dairy,1,2.20,USD,C-03,cash
O-2004,2026-09-02,S-01,SKU-2,Bread,Bakery,-1,3.00,USD,C-04,card
O-2005,2026-09-02,S-02,SKU-3,Milk,Dairy,0,2.20,USD,C-05,cash
O-2006,2026-09-02,S-03,SKU-999,Mystery,Produce,1,5.00,USD,C-06,card
O-2007,2026-09-03,S-99,SKU-1,Apple,Produce,1,1.50,USD,C-07,card
O-2008,2026-09-03,S-01,SKU-1,Apple,Produce,1,,USD,C-08,cash
O-2009,2026-09-03,S-02,SKU-4,Eggs,Dairy,12,not-a-price,USD,C-09,card
O-2010,2026-09-04,S-01,SKU-5,Coffee,Beverages,1,8.99,XYZ,C-10,card
O-2011,2026-09-04,S-02,SKU-2,Bread,Bakery,1,3.00,USD,C-11,bitcoin
,2026-09-04,S-03,SKU-3,Milk,Dairy,1,2.20,USD,C-12,card
O-2013,2026-09-05,S-01,SKU-1,,Produce,1,1.50,USD,C-13,card
O-2014,2026-09-05,S-02,SKU-1,Apple,Produce,1,1.50,USD,,card
O-2015,2026-09-05,S-01,SKU-1,Apple,Produce,2,1.50,USD,C-01,card
O-2015,2026-09-06,S-02,SKU-2,Bread,Bakery,3,3.00,USD,C-02,cash
O-2016,09/06/2026,S-03,SKU-4,Eggs,Dairy,6,0.35,USD,C-14,card
O-2017,2026-09-06,S-01,SKU-3,Milk,Dairy,2,2.20,USD,C-15,CARD
O-2018,2026-09-07,S-02,SKU-5,Coffee,Beverages,1,8.99,usd,C-16,card
O-2019,2026-09-07,S-03,SKU-2,  Bread  ,Bakery,1,3.00,USD,C-17,card
O-2020,2026-09-08,S-01,SKU-4,Eggs,Dairy,1,0.35,USD,C-18,card,
O-2024,2026-09-08,S-01,SKU-4,Eggs,Dairy,1,0.35,USD,C-18,card,EXTRA-COLUMN
O-2021,2026-09-08,S-01,SKU-4,Eggs
O-2022,2026-09-08,S-02,SKU-3,Milk,Dairy,1000000,2.20,USD,C-19,card
O-2023,2026-09-08,S-03,SKU-5,Coffee,Beverages,1,8.99,USD,C-20,card
