order_id,order_date,store_id,sku,product_name,category,qty,unit_price,currency,customer_id,payment_method
O-1001,2026-09-01,S-01,SKU-1,Apple,Produce,2,1.50,USD,C-01,card
O-1002,2026-09-01,S-01,SKU-2,Bread,Bakery,1,3.00,USD,C-02,cash
O-1003,2026-09-01,S-02,SKU-3,Milk,Dairy,3,2.20,USD,C-03,card
O-1004,2026-09-02,S-01,SKU-1,Apple,Produce,5,1.50,USD,C-04,card
O-1005,2026-09-02,S-02,SKU-4,Eggs,Dairy,12,0.35,USD,C-05,cash
O-1006,2026-09-02,S-03,SKU-5,Coffee,Beverages,1,8.99,USD,C-06,card
O-1007,2026-09-03,S-01,SKU-2,Bread,Bakery,2,3.00,USD,C-07,card
O-1008,2026-09-03,S-02,SKU-1,Apple,Produce,1,1.50,USD,C-08,cash
O-1009,2026-09-03,S-03,SKU-3,Milk,Dairy,2,2.20,EUR,C-09,card
O-1010,2026-09-04,S-01,SKU-5,Coffee,Beverages,3,8.99,USD,C-10,card
O-1011,2026-09-04,S-02,SKU-2,Bread,Bakery,4,2.75,GBP,C-11,cash
O-1012,2026-09-04,S-03,SKU-4,Eggs,Dairy,6,0.35,USD,C-12,card
O-1013,2026-09-05,S-01,SKU-3,Milk,Dairy,1,2.20,USD,C-13,card
O-1014,2026-09-05,S-02,SKU-5,Coffee,Beverages,2,8.99,USD,C-14,cash
O-1015,2026-09-06,S-03,SKU-1,Apple,Produce,10,1.40,USD,C-15,card
O-1016,2026-09-06,S-01,SKU-4,Eggs,Dairy,24,0.30,USD,C-16,card
O-1017,2026-09-07,S-02,SKU-3,Milk,Dairy,6,2.20,USD,C-17,cash
O-1018,2026-09-07,S-03,SKU-2,Bread,Bakery,3,3.10,USD,C-18,card
O-1019,2026-09-08,S-01,SKU-5,Coffee,Beverages,1,9.49,EUR,C-19,card
O-1020,2026-09-08,S-02,SKU-1,Apple,Produce,4,1.50,GBP,C-20,cash
