order_id,order_date,store_id,sku,product_name,category,qty,unit_price,currency,customer_id,payment_method
O-900001,2026-09-01,S-01,SKU-1,Apple,Produce,11,1.50,USD,C-0001,card
O-900002,2026-09-02,S-02,SKU-2,Bread,Bakery,2,3.00,USD,C-0002,cash
O-900003,2026-09-03,S-03,SKU-3,Milk,Dairy,1,2.20,USD,C-0003,card
O-900004,2026-09-04,S-01,SKU-4,Eggs,Dairy,12,0.35,EUR,C-0004,cash
O-900005,2026-09-05,S-02,SKU-5,Coffee,Beverages,5,8.99,GBP,C-0005,card
O-900006,2026-09-06,S-03,SKU-1,Apple,Produce,4,1.50,USD,C-0006,cash
O-900007,2026-09-07,S-01,SKU-2,Bread,Bakery,4,3.00,USD,C-0007,card
O-900008,2026-09-08,S-02,SKU-3,Milk,Dairy,3,2.20,USD,C-0008,cash
O-900009,2026-09-09,S-03,SKU-4,Eggs,Dairy,12,0.35,EUR,C-0009,card
O-900010,2026-09-10,S-01,SKU-5,Coffee,Beverages,2,8.99,GBP,C-0010,cash
O-900011,2026-09-11,S-02,SKU-1,Apple,Produce,11,1.50,USD,C-0011,card
O-900012,2026-09-12,S-03,SKU-2,Bread,Bakery,12,3.00,USD,C-0012,cash
O-900013,2026-09-13,S-01,SKU-3,Milk,Dairy,9,2.20,USD,C-0013,card
O-900014,2026-09-14,S-02,SKU-4,Eggs,Dairy,2,0.35,EUR,C-0014,cash
O-900015,2026-09-15,S-03,SKU-5,Coffee,Beverages,10,8.99,GBP,C-0015,card
O-900016,2026-09-16,S-01,SKU-1,Apple,Produce,7,1.50,USD,C-0016,cash
O-900017,2026-09-17,S-02,SKU-2,Bread,Bakery,1,3.00,USD,C-0017,card
O-900018,2026-09-18,S-03,SKU-3,Milk,Dairy,1,2.20,USD,C-0018,cash
O-900019,2026-09-19,S-01,SKU-4,Eggs,Dairy,2,0.35,EUR,C-0019,card
O-900020,bad-date,S-02,SKU-5,Coffee,Beverages,4,8.99,GBP,C-0020,cash
O-900021,2026-09-21,S-03,SKU-1,Apple,Produce,4,1.50,USD,C-0021,card
O-900022,2026-09-22,S-01,SKU-2,Bread,Bakery,9,3.00,USD,C-0022,cash
O-900023,2026-09-23,S-02,SKU-3,Milk,Dairy,10,2.20,USD,C-0023,card
O-900024,2026-09-24,S-03,SKU-4,Eggs,Dairy,1,0.35,EUR,C-0024,cash
O-900025,2026-09-25,S-01,SKU-5,Coffee,Beverages,9,8.99,GBP,C-0025,card
O-900026,2026-09-26,S-02,SKU-1,Apple,Produce,4,1.50,USD,C-0026,cash
O-900027,2026-09-27,S-03,SKU-2,Bread,Bakery,12,3.00,USD,C-0027,card
O-900028,2026-09-28,S-01,SKU-3,Milk,Dairy,11,2.20,USD,C-0028,cash
O-900029,2026-09-01,S-02,SKU-4,Eggs,Dairy,12,0.35,EUR,C-0029,card
O-900030,2026-09-02,S-03,SKU-5,Coffee,Beverages,9,8.99,GBP,C-0030,cash
O-900031,2026-09-03,S-01,SKU-1,Apple,Produce,7,1.50,USD,C-0031,card
O-900032,2026-09-04,S-02,SKU-2,Bread,Bakery,4,3.00,USD,C-0032,cash
O-900033,2026-09-05,S-03,SKU-3,Milk,Dairy,8,2.20,USD,C-0033,card
O-900034,2026-09-06,S-01,SKU-4,Eggs,Dairy,10,0.35,EUR,C-0034,cash
O-900035,2026-09-07,S-02,SKU-5,Coffee,Beverages,5,8.99,GBP,C-0035,card
O-900036,2026-09-08,S-03,SKU-1,Apple,Produce,1,1.50,USD,C-0036,cash
O-900037,2026-09-09,S-01,SKU-2,Bread,Bakery,3,3.00,USD,C-0037,card
O-900038,2026-09-10,S-02,SKU-3,Milk,Dairy,12,2.20,USD,C-0038,cash
O-900039,2026-09-11,S-03,SKU-4,Eggs,Dairy,7,0.35,EUR,C-0039,card
O-900040,2026-09-12,S-01,SKU-5,Coffee,Beverages,-3,8.99,GBP,C-0040,cash
O-900041,2026-09-13,S-02,SKU-1,Apple,Produce,5,1.50,USD,C-0041,card
O-900042,2026-09-14,S-03,SKU-2,Bread,Bakery,3,3.00,USD,C-0042,cash
O-900043,2026-09-15,S-01,SKU-3,Milk,Dairy,4,2.20,USD,C-0043,card
O-900044,2026-09-16,S-02,SKU-4,Eggs,Dairy,6,0.35,EUR,C-0044,cash
O-900045,2026-09-17,S-03,SKU-5,Coffee,Beverages,2,8.99,GBP,C-0045,card
O-900046,2026-09-18,S-01,SKU-1,Apple,Produce,2,1.50,USD,C-0046,cash
O-900047,2026-09-19,S-02,SKU-2,Bread,Bakery,7,3.00,USD,C-0047,card
O-900048,2026-09-20,S-03,SKU-3,Milk,Dairy,2,2.20,USD,C-0048,cash
O-900049,2026-09-21,S-01,SKU-4,Eggs,Dairy,6,0.35,EUR,C-0049,card
O-900050,2026-09-22,S-02,SKU-5,Coffee,Beverages,6,8.99,GBP,C-0050,cash
O-900051,2026-09-23,S-03,SKU-1,Apple,Produce,10,1.50,USD,C-0051,card
O-900052,2026-09-24,S-01,SKU-2,Bread,Bakery,5,3.00,USD,C-0052,cash
